epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3242.64,1.26512,1.12151,1.67977,0.82805,0.77625,0.87122,0.55702,1.26147,0.88835,1.69682,0.0083764,0.0083764,0.0083764
43,3318.42,1.24036,1.10553,1.66066,0.84236,0.73764,0.86,0.59457,1.23662,0.8533,1.67054,0.0083368,0.0083368,0.0083368
44,3394.14,1.2576,1.10725,1.66732,0.79939,0.74716,0.8343,0.5291,1.24601,0.86649,1.68342,0.0082972,0.0082972,0.0082972
45,3469.67,1.25785,1.10303,1.66772,0.87149,0.8085,0.89439,0.57269,1.25551,0.84665,1.67593,0.0082576,0.0082576,0.0082576
46,3545.22,1.23065,1.08383,1.64966,0.89106,0.80748,0.86441,0.58328,1.243,0.87719,1.67197,0.008218,0.008218,0.008218
47,3620.84,1.21965,1.07323,1.64082,0.72866,0.74668,0.80436,0.54444,1.22428,0.84487,1.64927,0.0081784,0.0081784,0.0081784
48,3696.42,1.21071,1.05459,1.63652,0.93495,0.75966,0.89575,0.57252,1.21184,0.80974,1.63127,0.0081388,0.0081388,0.0081388
49,3772.27,1.209,1.04809,1.6258,0.79895,0.76973,0.85637,0.56621,1.20453,0.81843,1.6247,0.0080992,0.0080992,0.0080992
50,3847.75,1.20359,1.04142,1.62326,0.86858,0.81547,0.87337,0.61216,1.22258,0.8191,1.66139,0.0080596,0.0080596,0.0080596
51,3923.35,1.20895,1.0436,1.62769,0.92241,0.77058,0.85634,0.57818,1.22418,0.81031,1.64586,0.00802,0.00802,0.00802
52,3998.96,1.18811,1.02725,1.6109,0.81675,0.79653,0.87243,0.62526,1.20377,0.79869,1.64218,0.0079804,0.0079804,0.0079804
53,4074.2,1.19477,1.02213,1.61277,0.87623,0.72721,0.83778,0.57071,1.18681,0.80408,1.60798,0.0079408,0.0079408,0.0079408
54,4149.89,1.18989,1.02006,1.6057,0.86234,0.78821,0.88703,0.59113,1.20987,0.78571,1.63201,0.0079012,0.0079012,0.0079012
55,4225.57,1.18279,1.01093,1.59538,0.90772,0.85854,0.89706,0.62052,1.18347,0.75563,1.60899,0.0078616,0.0078616,0.0078616
56,4301.22,1.17067,0.99915,1.58115,0.90139,0.75778,0.87317,0.61203,1.17599,0.79295,1.58804,0.007822,0.007822,0.007822
57,4376.92,1.17179,0.99719,1.58286,0.88322,0.79116,0.88755,0.61363,1.19856,0.77571,1.62801,0.0077824,0.0077824,0.0077824
58,4452.69,1.16283,0.98935,1.58287,0.88426,0.77517,0.8623,0.58995,1.18094,0.78034,1.59871,0.0077428,0.0077428,0.0077428
59,4528.5,1.14951,0.97636,1.562,0.92585,0.81454,0.91209,0.64357,1.15956,0.74709,1.58,0.0077032,0.0077032,0.0077032
60,4604.15,1.14177,0.97542,1.55797,0.93639,0.79435,0.88426,0.6392,1.14266,0.7298,1.57111,0.0076636,0.0076636,0.0076636
61,4679.81,1.15616,0.96574,1.56644,0.88016,0.79034,0.87726,0.61731,1.15079,0.76086,1.56982,0.007624,0.007624,0.007624
62,4755.54,1.14921,0.96156,1.56341,0.9052,0.83497,0.92631,0.66821,1.14879,0.73188,1.55965,0.0075844,0.0075844,0.0075844
63,4831.15,1.14649,0.957,1.5606,0.90846,0.83043,0.91653,0.69049,1.15808,0.74912,1.5896,0.0075448,0.0075448,0.0075448
