epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,13762.4,0.77307,0.54236,1.21703,0.94448,0.92274,0.96099,0.74487,0.86506,0.46162,1.2635,0.002872,0.002872,0.002872
182,13839.2,0.76512,0.54214,1.21662,0.95142,0.92204,0.95972,0.74592,0.86364,0.46224,1.26266,0.0028324,0.0028324,0.0028324
183,13915.2,0.75859,0.5425,1.20899,0.95368,0.9218,0.95884,0.75604,0.86358,0.46176,1.26301,0.0027928,0.0027928,0.0027928
184,13991.2,0.76059,0.53225,1.20856,0.9503,0.92118,0.95864,0.75387,0.86202,0.45963,1.26273,0.0027532,0.0027532,0.0027532
185,14067.4,0.76032,0.53469,1.20775,0.94302,0.91847,0.95857,0.75507,0.86161,0.45676,1.26205,0.0027136,0.0027136,0.0027136
186,14143.4,0.76257,0.53203,1.20545,0.92659,0.93725,0.95871,0.75598,0.86123,0.45513,1.26175,0.002674,0.002674,0.002674
187,14219.9,0.76359,0.54201,1.21124,0.87968,0.93855,0.95136,0.75056,0.86123,0.45672,1.26146,0.0026344,0.0026344,0.0026344
188,14296.6,0.76132,0.53791,1.21092,0.87658,0.93693,0.95084,0.7475,0.85987,0.45762,1.26027,0.0025948,0.0025948,0.0025948
189,14372.3,0.75298,0.52887,1.2026,0.89214,0.92565,0.95027,0.74802,0.85948,0.45771,1.2593,0.0025552,0.0025552,0.0025552
190,14448.2,0.75659,0.53183,1.20468,0.89862,0.9251,0.95087,0.74813,0.85745,0.45732,1.25836,0.0025156,0.0025156,0.0025156
191,14524.2,0.74869,0.52645,1.19799,0.89812,0.92478,0.94928,0.74928,0.85607,0.45868,1.25743,0.002476,0.002476,0.002476
192,14601,0.73615,0.51373,1.19007,0.89786,0.92439,0.94991,0.75074,0.85503,0.45807,1.2557,0.0024364,0.0024364,0.0024364
193,14675.4,0.7536,0.52903,1.20107,0.90832,0.92321,0.94802,0.74834,0.85406,0.45913,1.25428,0.0023968,0.0023968,0.0023968
194,14750.1,0.74554,0.52392,1.19437,0.90819,0.92288,0.94908,0.74872,0.85182,0.45711,1.25228,0.0023572,0.0023572,0.0023572
195,14826.3,0.73746,0.52354,1.19002,0.90948,0.92225,0.95036,0.74566,0.8527,0.45807,1.25394,0.0023176,0.0023176,0.0023176
196,14900.8,0.72996,0.50849,1.18464,0.90941,0.92174,0.95059,0.74445,0.85183,0.45536,1.2533,0.002278,0.002278,0.002278
197,14974.9,0.74218,0.52362,1.19125,0.90827,0.92181,0.95021,0.74695,0.85181,0.45535,1.2529,0.0022384,0.0022384,0.0022384
198,15049.4,0.73393,0.50955,1.18581,0.90637,0.92248,0.9501,0.74784,0.85203,0.45548,1.25334,0.0021988,0.0021988,0.0021988
199,15123.4,0.73686,0.51653,1.19181,0.90508,0.92364,0.95093,0.74251,0.85158,0.45593,1.2537,0.0021592,0.0021592,0.0021592
200,15197.6,0.73391,0.51196,1.18494,0.90599,0.92325,0.94925,0.74471,0.85096,0.45531,1.25317,0.0021196,0.0021196,0.0021196
201,15271.7,0.71869,0.50252,1.17693,0.90381,0.92333,0.9489,0.74289,0.85015,0.45513,1.25321,0.00208,0.00208,0.00208
202,15345.8,0.72341,0.50273,1.17807,0.90441,0.92353,0.94856,0.7445,0.85022,0.45502,1.25362,0.0020404,0.0020404,0.0020404
203,15420.1,0.71629,0.49786,1.17471,0.9055,0.92236,0.95009,0.74146,0.84897,0.45392,1.25216,0.0020008,0.0020008,0.0020008
204,15494.4,0.71595,0.49948,1.17351,0.90386,0.92333,0.94987,0.74227,0.84717,0.4527,1.25007,0.0019612,0.0019612,0.0019612
205,15569,0.71848,0.49871,1.17321,0.96597,0.90205,0.95865,0.75275,0.84663,0.45232,1.24939,0.0019216,0.0019216,0.0019216
206,15643.2,0.7202,0.498,1.17049,0.95697,0.92124,0.95833,0.75192,0.84614,0.45184,1.24919,0.001882,0.001882,0.001882
207,15718.2,0.71483,0.50133,1.17604,0.95733,0.92241,0.95887,0.75181,0.84612,0.45155,1.24882,0.0018424,0.0018424,0.0018424
208,15793.2,0.71022,0.48869,1.16456,0.95877,0.92115,0.95938,0.74823,0.84444,0.45123,1.2473,0.0018028,0.0018028,0.0018028
209,15869,0.71439,0.4911,1.17274,0.95913,0.91971,0.9598,0.74505,0.84443,0.44973,1.2486,0.0017632,0.0017632,0.0017632
210,15944.8,0.69943,0.48422,1.1618,0.95958,0.92122,0.95921,0.7444,0.84422,0.44891,1.24847,0.0017236,0.0017236,0.0017236
211,16020.3,0.70237,0.49255,1.16756,0.95928,0.92202,0.95961,0.74635,0.84245,0.44973,1.24586,0.001684,0.001684,0.001684
212,16095.9,0.69403,0.47715,1.15767,0.95754,0.92218,0.95925,0.75565,0.84109,0.44887,1.24491,0.0016444,0.0016444,0.0016444
213,16171.2,0.69455,0.48219,1.15972,0.9575,0.92263,0.95907,0.75245,0.84089,0.44846,1.24456,0.0016048,0.0016048,0.0016048
214,16246.7,0.69639,0.4842,1.15863,0.94643,0.91173,0.94778,0.75314,0.84139,0.44947,1.24526,0.0015652,0.0015652,0.0015652
215,16322.2,0.69841,0.48555,1.15783,0.95843,0.92391,0.9569,0.7544,0.84109,0.4495,1.24497,0.0015256,0.0015256,0.0015256
216,16397.8,0.68557,0.47145,1.14748,0.95832,0.92403,0.95709,0.75596,0.84121,0.44963,1.24514,0.001486,0.001486,0.001486
217,16473.3,0.68574,0.47818,1.15206,0.9583,0.92427,0.95671,0.75393,0.8405,0.44934,1.24453,0.0014464,0.0014464,0.0014464
