                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72495,                0.52778,                0.96696,                0.96928,                 0.9448,                0.96636,                0.78607,                0.77737,                0.50305,                 1.0834,              0.0010989,              0.0010989,              0.0010989
                     37,                0.70944,                0.53344,                0.95658,                0.95545,                 0.9569,                0.97125,                0.78355,                  0.798,                0.48278,                 1.0715,              0.0010895,              0.0010895,              0.0010895
                     38,                0.71367,                0.52056,                0.96901,                0.96332,                0.91379,                0.96413,                0.78955,                0.76219,                0.51326,                 1.0649,                0.00108,                0.00108,                0.00108
                     39,                0.70011,                0.49567,                0.94374,                 0.9514,                0.87931,                0.95986,                0.77553,                0.79636,                0.51865,                 1.0609,              0.0010706,              0.0010706,              0.0010706
                     40,                0.68232,                0.51277,                0.95009,                0.98134,                0.90813,                0.96856,                0.78803,                0.77464,                0.52063,                 1.0592,              0.0010612,              0.0010612,              0.0010612
                     41,                0.70412,                0.51285,                0.95428,                0.94849,                0.95236,                0.97405,                 0.7877,                0.78726,                0.50892,                 1.0651,              0.0010517,              0.0010517,              0.0010517
                     42,                0.68266,                0.52928,                0.94506,                0.97369,                0.93768,                0.97365,                0.78145,                0.79581,                0.50595,                 1.0604,              0.0010423,              0.0010423,              0.0010423
                     43,                0.68688,                0.50711,                0.95709,                0.96982,                0.88079,                0.96218,                0.78244,                0.77035,                 0.5192,                 1.0655,              0.0010329,              0.0010329,              0.0010329
                     44,                 0.6722,                0.48424,                0.94433,                0.95239,                0.84483,                0.92559,                0.75292,                0.78045,                0.63516,                 1.0808,              0.0010234,              0.0010234,              0.0010234
                     45,                0.66275,                0.49684,                0.94454,                0.96247,                0.91845,                0.95518,                0.78834,                0.75932,                0.50924,                 1.0544,               0.001014,               0.001014,               0.001014
                     46,                0.66467,                0.49344,                0.94923,                0.95086,                0.93103,                0.96368,                0.78317,                 0.7427,                0.52828,                 1.0412,              0.0010046,              0.0010046,              0.0010046
                     47,                0.66784,                0.47982,                0.94847,                 0.9507,                0.92527,                0.96253,                0.77295,                0.79134,                0.51671,                 1.0641,             0.00099516,             0.00099516,             0.00099516
                     48,                0.68793,                 0.4766,                0.96168,                0.95478,                0.91087,                0.95065,                0.77738,                0.74163,                0.51582,                 1.0315,             0.00098572,             0.00098572,             0.00098572
                     49,                0.66318,                 0.4665,                0.94574,                0.96783,                0.90517,                0.96268,                0.77264,                0.82625,                0.52226,                  1.089,             0.00097629,             0.00097629,             0.00097629
                     50,                0.67261,                0.47568,                0.94029,                 0.9504,                0.92887,                0.96062,                0.77618,                0.76839,                0.49591,                  1.051,             0.00096686,             0.00096686,             0.00096686
                     51,                0.64786,                0.46798,                0.93853,                0.96996,                0.96529,                0.96686,                 0.7741,                0.79726,                0.48837,                  1.072,             0.00095743,             0.00095743,             0.00095743
                     52,                0.65213,                0.46803,                0.94047,                0.95395,                0.93782,                0.96716,                0.78373,                0.78395,                0.50232,                 1.0567,               0.000948,               0.000948,               0.000948
                     53,                0.63607,                0.47703,                 0.9337,                0.96678,                 0.9465,                0.96936,                0.78003,                0.74802,                0.47866,                 1.0541,             0.00093857,             0.00093857,             0.00093857
                     54,                0.65163,                 0.4805,                0.92492,                0.98169,                0.92629,                0.96275,                0.78683,                0.75087,                0.47672,                 1.0337,             0.00092914,             0.00092914,             0.00092914
                     55,                0.63838,                0.45396,                0.92417,                0.94907,                0.93103,                 0.9646,                0.77368,                0.78689,                 0.5071,                  1.041,              0.0009197,              0.0009197,              0.0009197
                     56,                0.63937,                0.44566,                0.92551,                 0.9339,                0.93725,                0.95975,                0.78724,                0.74151,                0.47887,                 1.0276,             0.00091027,             0.00091027,             0.00091027
                     57,                0.62866,                0.43633,                0.93326,                0.94287,                0.93103,                0.96526,                0.80013,                0.69354,                0.48393,                 1.0197,             0.00090084,             0.00090084,             0.00090084
                     58,                0.61792,                0.44204,                0.91603,                0.95234,                0.94694,                0.96575,                 0.8037,                0.71762,                0.49131,                 1.0338,             0.00089141,             0.00089141,             0.00089141
                     59,                0.63767,                0.44787,                0.92517,                0.92915,                0.95421,                0.97053,                0.79187,                0.74416,                0.46444,                 1.0389,             0.00088198,             0.00088198,             0.00088198
                     60,                0.62312,                0.43871,                0.92459,                0.96808,                0.93626,                0.97137,                0.81066,                0.71734,                0.44169,                 1.0172,             0.00087255,             0.00087255,             0.00087255
                     61,                0.62578,                0.43497,                0.92153,                0.95387,                 0.9568,                0.97149,                0.79889,                0.73451,                0.47311,                 1.0224,             0.00086312,             0.00086312,             0.00086312
                     62,                0.60558,                0.42429,                0.92531,                0.94222,                0.95646,                0.96842,                0.79422,                0.72071,                 0.4673,                 1.0166,             0.00085368,             0.00085368,             0.00085368
                     63,                0.60286,                0.43352,                0.92143,                0.97423,                0.93645,                 0.9712,                0.80227,                0.72673,                0.46778,                 1.0176,             0.00084425,             0.00084425,             0.00084425
                     64,                0.59887,                0.42014,                0.91806,                0.97276,                0.93974,                0.97317,                0.78418,                0.80248,                0.47416,                 1.0554,             0.00083482,             0.00083482,             0.00083482
                     65,                0.60559,                  0.416,                0.91347,                0.97721,                0.94487,                0.97201,                0.81698,                0.73038,                0.47212,                 1.0263,             0.00082539,             0.00082539,             0.00082539
                     66,                0.57793,                0.42844,                0.90502,                0.98208,                0.96032,                0.97715,                0.81601,                0.70273,                0.42074,                 1.0003,             0.00081596,             0.00081596,             0.00081596
                     67,                0.58029,                0.42219,                0.90683,                0.97043,                 0.9496,                0.97097,                0.80729,                0.71903,                0.46185,                 1.0147,             0.00080653,             0.00080653,             0.00080653
                     68,                0.57027,                0.40413,                0.89807,                0.94786,                0.94194,                0.96858,                0.81082,                0.71611,                0.47145,                 1.0184,              0.0007971,              0.0007971,              0.0007971
                     69,                 0.5718,                 0.4021,                 0.9052,                 0.9673,                0.95242,                0.97285,                 0.8013,                0.73637,                0.44925,                 1.0221,             0.00078766,             0.00078766,             0.00078766
                     70,                 0.5819,                0.41144,                0.90822,                0.97324,                0.96114,                0.96945,                0.80822,                0.72089,                0.45344,                 1.0155,             0.00077823,             0.00077823,             0.00077823
                     71,                0.59459,                0.41026,                  0.905,                0.97148,                0.93966,                0.97359,                  0.809,                0.70936,                0.43415,                 1.0109,              0.0007688,              0.0007688,              0.0007688
                     72,                0.56897,                0.39801,                0.90583,                0.97231,                0.96133,                 0.9793,                0.79582,                0.74419,                0.42338,                 1.0256,             0.00075937,             0.00075937,             0.00075937
                     73,                0.55825,                0.39936,                0.89369,                0.97648,                0.93103,                0.97791,                0.81754,                0.69259,                 0.4128,                0.99573,             0.00074994,             0.00074994,             0.00074994
                     74,                0.57916,                0.40923,                0.90757,                0.97391,                0.95138,                0.97799,                0.81397,                0.69863,                0.41014,                0.99398,             0.00074051,             0.00074051,             0.00074051
                     75,                 0.5601,                0.40657,                0.90115,                0.97406,                0.94828,                0.97708,                0.81917,                0.68359,                0.40176,                0.99765,             0.00073108,             0.00073108,             0.00073108
                     76,                0.55084,                0.40726,                0.90589,                0.95833,                0.93601,                0.96564,                0.79655,                0.71426,                0.45131,                 1.0141,             0.00072164,             0.00072164,             0.00072164
                     77,                0.55686,                0.40441,                0.89876,                0.97735,                0.93103,                0.97161,                0.80423,                0.69803,                 0.4928,                 1.0078,             0.00071221,             0.00071221,             0.00071221
                     78,                0.57858,                0.41388,                0.91884,                0.98066,                 0.9384,                0.97072,                0.81813,                 0.6818,                 0.4425,                0.99735,             0.00070278,             0.00070278,             0.00070278
                     79,                0.57985,                0.39984,                 0.9058,                0.98487,                0.94942,                0.97506,                0.82361,                 0.6602,                0.40635,                0.98245,             0.00069335,             0.00069335,             0.00069335
                     80,                0.56441,                 0.3939,                0.89863,                0.97217,                0.96273,                0.97727,                0.81934,                0.68597,                0.41699,                0.99143,             0.00068392,             0.00068392,             0.00068392
                     81,                0.55051,                 0.3873,                0.89489,                 0.9694,                0.93966,                0.97439,                 0.8066,                0.69347,                0.41813,                 1.0005,             0.00067449,             0.00067449,             0.00067449
                     82,                0.55078,                0.38419,                0.89301,                0.97827,                 0.9569,                0.98046,                0.83024,                0.68065,                0.38819,                0.99345,             0.00066506,             0.00066506,             0.00066506
                     83,                0.55047,                 0.3826,                0.89883,                0.95761,                 0.9569,                0.98033,                0.82616,                0.68055,                0.39691,                0.99386,             0.00065563,             0.00065563,             0.00065563
